,Rank,Institution,Region,Total Score
574,575,Langfang Teachers University,Hebei,80.3
575,576,Hebei University of Water Resources and Electric Engineering,Hebei,79.6
576,577,Gansu Normal University for Nationalities,Gansu,79.5
577,578,Shanxi Institute of Energy,Shanxi,78.3
578,579,Zhaotong University,Yunnan,78.1
579,580,Xinjiang Institute of Technology,Xinjiang,77.7
580,581,Changji University,Xinjiang,77.0
581,582,West Yunnan University of Applied Sciences,Yunnan,74.8
582,583,Shenyang Institute of Engineering,Liaoning,74.7
583,584,Polytechnic College of Hebei University of Science and Technology,Hebei,74.0
584,585,Baotou Teachers' College,Inner Mongolia,71.5
585,586,Hebei University of Technology City College,Hebei,63.8
586,587,Shanxi Vocational University of Engineering Science and Technology,Shanxi,62.1
587,588,Shanxi Institute of Science and Technology,Shanxi,55.6
588,589,Guangxi Vocational University of Agriculture,Guangxi,51.1
589,590,Xinjiang University of Political Science and Law,Xinjiang,43.5
