,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Qingdao University of Science and Technology,1950,32168,42,28341,13,3557,29
0,Hebei Agricultural University,1902,,,,,,
0,North University of China,1941,38761,185,34575,138,4186,47
0,Tianjin University of Science and Technology,1958,,,,,,
0,Yangtze University,2003,,,,,,
0,Jiangxi Agricultural University,1905,,,,,,
0,Hunan University of Science and Technology,1949,,,,,,
0,Yunnan Normal University,1938,,,,,,
0,East China University of Technology,1956,22393,89,19959,85,2434,4
0,University of South China,1958,34415,602,29989,559,4426,43
0,Xi'an University of Posts and Telecommunications,1950,,,,,,
0,Zhejiang Ocean University,1958,11215,74,10008,28,1207,46
0,Chongqing Jiaotong University,1951,,,,,,
0,Shenyang University of Technology,1949,,,,,,
0,Sichuan Normal University,1946,,,,,,
0,Inner Mongolia Agricultural University,1952,,,,,,
0,Tianjin University of Technology,1978,,,,,,
0,Lanzhou University of Technology,1919,,,,,,
0,Shanghai University of Electric Power,1951,,,,,,
0,Anhui University of Science and Technology,1945,,,,,,
0,University of International Relations,1949,,,,,,
0,Shenyang Aerospace University,1952,,,,,,
0,Central South University of Forestry & Technology,1958,,,,,,
0,Qinghai University,1958,,,,,,
0,Southwest University of Science and Technology,1952,,,,,,
0,Beijing Information Science & Technology University,1937,,,,,,
0,Shandong University of Technology,1956,,,,,,
0,Henan University of Technology,1956,,,,,,
0,Beijing Electronic Science and Technology Institute,1947,,,,,,
0,Suzhou University of Science and Technology,1932,,,,,,
0,Northeast Petroleum University,1960,,,,,,
0,Shanghai University of Engineering Science,1978,,,,,,
0,Harbin Normal University,1951,,,,,,
0,Qingdao University of Technology,1953,,,,,,
0,Yantai University,1984,,,,,,
0,Foshan University,1958,,,,,,
0,North China University of Water Resources and Electric Power,1951,,,,,,
0,Qingdao Agricultural University,1951,,,,,,
0,Shanxi Agricultural University,1907,,,,,,
0,Shijiazhuang Tiedao University,1950,,,,,,
0,Harbin University of Science and Technology,1950,,,,,,
0,Gansu Agricultural University,1946,,,,,,
0,Jiaxing University,1914,,,,,,
0,Hainan Normal University,1949,,,,,,
0,Huzhou University,1916,,,,,,
0,Wuhan Polytechnic University,1951,19249,29,17573,29,1676,0.0%
0,Chongqing University of Technology,1940,,,,,,
0,Lanzhou Jiaotong University,1958,,,,,,
0,Ludong University,1930,,,,,,
0,Guilin University of Electronic Technology,1960,,,,,,
0,China West Normal University,1946,,,,,,
0,Beijing University of Agriculture,1956,,,,,,
0,Tibet University,1985,,,,,,
0,Dalian Polytechnic University,1958,,,,,,
0,Chongqing Normal University,1954,,,,,,
0,Anhui jianzhu University,1958,,,,,,
0,Chengdu University,1978,23521,455,22159,345,1362,110
0,Liaocheng University,1974,,,,,,
0,Chengdu University of Information Technology,1951,23492,4,22046,0.0%,1446,4
0,Hebei University of Science and Technology,1956,,,,,,
0,Shandong Jianzhu University,1956,,,,,,
